Pool,family,library,diversity,strain
P1,363,single,256,PL0017
P1,366,single,256,PL0017
P1,385,single,256,PL0017
P2,152,double,1024,PL0017
P2,246,double,1024,PL0017
P2,250,double,1024,PL0017
P2,299,double,1024,PL0017
P2,363,double,1024,PL0017
P2,366,double,1024,PL0017
P2,385,double,1024,PL0017
P2,363,single,256,PL0017
P2,366,single,256,PL0017
P2,385,single,256,PL0017
P3,152,double,1024,BY4741
P3,246,double,1024,BY4741
P3,250,double,1024,BY4741
P3,299,double,1024,BY4741
P4,363,single,256,BY4741
P4,366,single,256,BY4741
P4,385,single,256,BY4741
P4,363,double,1024,BY4741
P4,366,double,1024,BY4741
P4,385,double,1024,BY4741
P5,363,single,256,BY4741
P5,366,single,256,BY4741
P5,385,single,256,BY4741
P5,363,double,1024,BY4741
P5,366,double,1024,BY4741
P5,385,double,1024,BY4741
P6,363,single,256,BY4741
P6,366,single,256,BY4741
P6,385,single,256,BY4741
P6,363,double,1024,BY4741
P6,366,double,1024,BY4741
P6,385,double,1024,BY4741
