,Sample_name,R1_file,R2_file,Trimmed_file_F,Trimmed_file_R,Merged_file,Agg_file
0,S10_T0_Both,S10_T0_Both_S10_L001_R1_001.fastq,S10_T0_Both_S10_L001_R2_001.fastq,S10_T0_Both_R1_trim.fastq,S10_T0_Both_R2_trim.fastq,S10_T0_Both.fasta,S10_T0_Both_agg.fasta
1,S10_T1_DMSO,S10_T1_DMSO_S28_L001_R1_001.fastq,S10_T1_DMSO_S28_L001_R2_001.fastq,S10_T1_DMSO_R1_trim.fastq,S10_T1_DMSO_R2_trim.fastq,S10_T1_DMSO.fasta,S10_T1_DMSO_agg.fasta
2,S10_T1_MTX,S10_T1_MTX_S37_L001_R1_001.fastq,S10_T1_MTX_S37_L001_R2_001.fastq,S10_T1_MTX_R1_trim.fastq,S10_T1_MTX_R2_trim.fastq,S10_T1_MTX.fasta,S10_T1_MTX_agg.fasta
3,S10_T2_DMSO,S10_T2_DMSO_S55_L001_R1_001.fastq,S10_T2_DMSO_S55_L001_R2_001.fastq,S10_T2_DMSO_R1_trim.fastq,S10_T2_DMSO_R2_trim.fastq,S10_T2_DMSO.fasta,S10_T2_DMSO_agg.fasta
4,S10_T2_MTX,S10_T2_MTX_S64_L001_R1_001.fastq,S10_T2_MTX_S64_L001_R2_001.fastq,S10_T2_MTX_R1_trim.fastq,S10_T2_MTX_R2_trim.fastq,S10_T2_MTX.fasta,S10_T2_MTX_agg.fasta
5,S11_T0_Both,S11_T0_Both_S11_L001_R1_001.fastq,S11_T0_Both_S11_L001_R2_001.fastq,S11_T0_Both_R1_trim.fastq,S11_T0_Both_R2_trim.fastq,S11_T0_Both.fasta,S11_T0_Both_agg.fasta
6,S11_T1_DMSO,S11_T1_DMSO_S29_L001_R1_001.fastq,S11_T1_DMSO_S29_L001_R2_001.fastq,S11_T1_DMSO_R1_trim.fastq,S11_T1_DMSO_R2_trim.fastq,S11_T1_DMSO.fasta,S11_T1_DMSO_agg.fasta
7,S11_T1_MTX,S11_T1_MTX_S38_L001_R1_001.fastq,S11_T1_MTX_S38_L001_R2_001.fastq,S11_T1_MTX_R1_trim.fastq,S11_T1_MTX_R2_trim.fastq,S11_T1_MTX.fasta,S11_T1_MTX_agg.fasta
8,S11_T2_DMSO,S11_T2_DMSO_S56_L001_R1_001.fastq,S11_T2_DMSO_S56_L001_R2_001.fastq,S11_T2_DMSO_R1_trim.fastq,S11_T2_DMSO_R2_trim.fastq,S11_T2_DMSO.fasta,S11_T2_DMSO_agg.fasta
9,S11_T2_MTX,S11_T2_MTX_S65_L001_R1_001.fastq,S11_T2_MTX_S65_L001_R2_001.fastq,S11_T2_MTX_R1_trim.fastq,S11_T2_MTX_R2_trim.fastq,S11_T2_MTX.fasta,S11_T2_MTX_agg.fasta
