Sample,Assay,Condition,Replicate,Timepoint,Pool,DNA
S1,Avail,Both,R1,T0,P1,7.2
S2,Avail,Both,R2,T0,P1,8.8
S3,Avail,Both,R3,T0,P1,15.5
S4,Avail,Both,R1,T0,P2,6.4
S5,Avail,Both,R2,T0,P2,22.3
S6,Avail,Both,R3,T0,P2,11.3
S7,PPI,Both,R1,T0,P3,16.2
S8,PPI,Both,R2,T0,P3,9.7
S9,PPI,Both,R3,T0,P3,11.5
S10,PPI,Both,R1,T0,P4,8.4
S11,PPI,Both,R2,T0,P4,6.7
S12,PPI,Both,R3,T0,P4,14.6
S13,PPI,Both,R1,T0,P5,19.3
S14,PPI,Both,R2,T0,P5,5.4
S15,PPI,Both,R3,T0,P5,22.8
S16,PPI,Both,R1,T0,P6,18.5
S17,PPI,Both,R2,T0,P6,23.1
S18,PPI,Both,R3,T0,P6,18.8
S1,Avail,MTX,R1,T1,P1,6
S2,Avail,MTX,R2,T1,P1,13.3
S3,Avail,MTX,R3,T1,P1,12.3
S4,Avail,DMSO,R1,T1,P2,10
S5,Avail,DMSO,R2,T1,P2,5.4
S6,Avail,DMSO,R3,T1,P2,31.8
S7,PPI,DMSO,R1,T1,P3,12.9
S8,PPI,DMSO,R2,T1,P3,9.2
S9,PPI,DMSO,R3,T1,P3,11.8
S10,PPI,DMSO,R1,T1,P4,12.2
S11,PPI,DMSO,R2,T1,P4,8.6
S12,PPI,DMSO,R3,T1,P4,6.1
S13,PPI,DMSO,R1,T1,P5,9.8
S14,PPI,DMSO,R2,T1,P5,13.8
S15,PPI,DMSO,R3,T1,P5,8
S16,PPI,DMSO,R1,T1,P6,9.9
S17,PPI,DMSO,R2,T1,P6,20
S18,PPI,DMSO,R3,T1,P6,22.4
S10,PPI,MTX,R1,T1,P4,12
S11,PPI,MTX,R2,T1,P4,25.4
S12,PPI,MTX,R3,T1,P4,11.3
S13,PPI,MTX,R1,T1,P5,19.8
S14,PPI,MTX,R2,T1,P5,32.2
S15,PPI,MTX,R3,T1,P5,15
S16,PPI,MTX,R1,T1,P6,32
S17,PPI,MTX,R2,T1,P6,37.2
S18,PPI,MTX,R3,T1,P6,24.8
S1,Avail,MTX,R1,T2,P1,14.4
S2,Avail,MTX,R2,T2,P1,13.4
S3,Avail,MTX,R3,T2,P1,13.8
S4,Avail,DMSO,R1,T2,P2,11.3
S5,Avail,DMSO,R2,T2,P2,24.4
S6,Avail,DMSO,R3,T2,P2,17.1
S7,PPI,DMSO,R1,T2,P3,20.5
S8,PPI,DMSO,R2,T2,P3,18.6
S9,PPI,DMSO,R3,T2,P3,17.5
S10,PPI,DMSO,R1,T2,P4,22.5
S11,PPI,DMSO,R2,T2,P4,16.9
S12,PPI,DMSO,R3,T2,P4,22.2
S13,PPI,DMSO,R1,T2,P5,8.1
S14,PPI,DMSO,R2,T2,P5,9.8
S15,PPI,DMSO,R3,T2,P5,12.7
S16,PPI,DMSO,R1,T2,P6,7.7
S17,PPI,DMSO,R2,T2,P6,10.3
S18,PPI,DMSO,R3,T2,P6,8.5
S10,PPI,MTX,R1,T2,P4,11.4
S11,PPI,MTX,R2,T2,P4,17.2
S12,PPI,MTX,R3,T2,P4,29.8
S13,PPI,MTX,R1,T2,P5,20
S14,PPI,MTX,R2,T2,P5,29.3
S15,PPI,MTX,R3,T2,P5,26.8
S16,PPI,MTX,R1,T2,P6,27.9
S17,PPI,MTX,R2,T2,P6,26.9
S18,PPI,MTX,R3,T2,P6,21.2
